sampleid	Museum_Number	Genus	Species	locality	Locality	Locality_Name	Region	Sex	SL	Parasite	Waveform_Type	EOD_FILE
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical
MSU-256	MSUM IC IC.7367	Ivindomyrus	Ivindomyrus marchei	2019-015	2019-015	Louetsi River	BON	Male	142	0	BP	IMARC_256.mat
MSU-220	MSUM IC IC.7331	Marcusenius	Marcusenius moori	2019-015	2019-015	Louetsi River	BON	Male	182	0	BP	MMOOR_220.mat
MSU-435	MSUM IC IC.7547	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK		85	0	BP	MMOOR_435.mat
MSU-436	MSUM IC IC.7548	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK	Female	110	0	BP	MMOOR_436.mat
MSU-440	MSUM IC IC.7552	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK	Male	59	0	BP	MMOOR_440.mat
MSU-441	MSUM IC IC.7553	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK	Male	64	0	BP	MMOOR_441.mat
MSU-442	MSUM IC IC.7554	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK	Juvenile	48	0	BP	MMOOR_442.mat
MSU-444	MSUM IC IC.7556	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK	Juvenile	49	0	BP	MMOOR_444.mat
MSU-506	MSUM IC IC.7618	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK		35	0	BP	MMOOR_506.mat
MSU-512	MSUM IC IC.7624	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK	Juvenile	73	0	BP	MMOOR_512.mat
MSU-515	MSUM IC IC.7627	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK	Juvenile	54	0	BP	MMOOR_515.mat
MSU-516	MSUM IC IC.7628	Marcusenius	Marcusenius moori	2019-026	2019-026	Bale Creek	MAK	Juvenile	49	0	BP	MMOOR_516.mat
MSU-241	MSUM IC IC.7352	Mormyrops	Mormyrops nigricans	2019-019	2019-019	Louetsi River	BON	Male	250	0	BP	MNIGR_241.mat
